and	oraz
digital	cyfrowy
digital	cyfrowa
digital	cyfrowe
digital	digital
mission	misji
mission	misje
mission	misja
lived	mieszkał
lived	żyła
lived	żył
lived	żyłem
claim	roszczenia
claim	roszczenie
claim	twierdzenie
claim	twierdzą
seat	siedzenie
seat	siedziba
seat	siedzenia
bbc	bbc
profile	profil
profile	profilu
dance	dance
dance	tańcz
dance	taniec
prize	nagrodę
prize	nagroda
prize	nagrody
doing	robienie
doing	robię
doing	robi
georgia	gruzja
georgia	georgia
port	portu
port	port
pacific	pacyfiku
pacific	pacific
pacific	pacyfik
castle	zamek
castle	castle
castle	zamku
pass	podanie
pass	pass
pass	przepustka
pass	przełęcz
pass	podaj
transport	przewóz
transport	transportu
transport	transportowe
transport	transport
organizations	organizacji
organizations	organizacje
ratio	stosunek
ratio	proporcje
ratio	współczynnik
recently	niedawno
recently	ostatnio
fall	upadek
fall	jesień
global	globalny
global	global
global	globalna
global	globalnego
global	globalne
era	epoka
era	era
era	ery
wing	skrzydło
wing	wing
opinion	opinia
commander	dowódca
fort	fortu
fort	fort
effect	efekt
effect	skutek
opening	otwieranie
opening	otwarcie
opening	otwarcia
opening	otwierające
purpose	celu
purpose	cel
purpose	przeznaczenie
winter	winter
winter	zimowy
winter	zimy
winter	zima
winter	zimowe
genus	rodzaj
genus	rodzaju
congress	kongres
congress	kongresie
congress	kongresu
overall	ogólnie
overall	ogólnej
activities	działania
activities	działalności
activities	działalność
met	spełnione
met	met
met	spotkał
income	dochód
income	przychód
income	przychody
income	dochodów
income	dochody
massachusetts	massachusetts
comes	przychodzi
comes	przybywa
older	starsza
older	starsze
older	starsi
older	starszy
peak	pik
peak	szczyt
peak	peak
lack	brak
bass	bass
bass	bas
super	super
complex	złożone
complex	złożona
complex	złożony
complex	kompleks
complex	skomplikowane
academic	akademickich
academic	akademickie
stars	gwiazd
stars	gwiazdki
stars	gwiazdy
stars	gwiazdek
accounts	rachunki
accounts	konta
accounts	kont
appearance	wygląd
appearance	wystąpienie
asian	azji
asked	zapytała
asked	poprosił
asked	pytał
asked	zapytał
friends	przyjaciele
friends	przyjaciółki
friends	znajomi
friends	znajomych
friends	przyjaciół
kind	rodzaj
financial	finansowe
financial	financial
financial	finansowy
financial	finansowych
financial	finansowa
entry	wjazd
entry	wejście
entry	wpis
asia	azja
sense	wyczucie
sense	zmysł
sense	sens
sense	sensie
sense	poczucie
meaning	znaczenie
meaning	rozumieniu
actress	aktorka
actress	aktorki
actress	aktorką
map	mapa
map	mapy
map	mapę
map	mapie
intended	zamierzone
intended	przeznaczona
intended	przeznaczony
intended	przeznaczone
bishop	biskup
bishop	bishop
bishop	goniec
boston	bostonie
boston	boston
boston	bostonu
rate	stawki
rate	stawka
rate	stopa
literature	literatury
literature	literaturze
literature	literaturę
literature	literatura
forest	lasy
forest	leśne
forest	lasu
forest	leśny
forest	las
voice	głos
voice	glos
voice	głosu
jack	jacka
jack	jacku
jack	jacek
jack	jack
pre	pre
justice	sprawiedliwości
justice	sprawiedliwość
champion	mistrz
champion	champion
champion	mistrzyni
double	podwójny
double	podwójna
double	podwójne
double	podwójnie
polish	polsko
polish	polskie
polish	polski
numbers	numery
numbers	cyfry
numbers	liczby
columbia	columbia
columbia	kolumbia
temple	świątynia
temple	świątynie
temple	temple
temple	świątyni
defeated	pokonany
defeated	pokonał
defeated	pokonani
administration	administracja
administration	administracji
administration	podawanie
claims	roszczenia
claims	należności
claims	wierzytelności
claims	twierdzi
claims	twierdzenia
jones	jones
jones	jonesa
parish	parafia
parish	parafii
israel	izrael
actors	aktorów
actors	aktorzy
sister	siostro
sister	siostra
nine	dziewięciu
nine	nine
nine	dziewięć
scored	zdobył
table	tabeli
table	tabela
table	stół
table	stolik
table	tablica
attended	uczestniczył
attended	uczęszczał
pop	pop
else	inny
newspaper	gazety
newspaper	gazeta
newspaper	gazetę
friend	przyjaciółka
friend	koleżanka
friend	znajomy
friend	przyjaciel
unknown	nieznany
unknown	nieznana
unknown	nieznane
winner	zwycięzca
chart	wykres
initially	początkowo
initially	pierwotnie
loss	utrata
loss	strata
loss	straty
sites	witryny
sites	witryn
starting	uruchamianie
starting	zaczyna
starting	rozpoczęcie
starting	zaczynamy
starting	początek
architecture	architektura
architecture	architektury
relations	relacje
relations	relacji
relations	stosunków
relations	stosunki
upper	upper
upper	górne
upper	górny
upper	górna
supported	wspierany
supported	obsługiwany
supported	wspierane
supported	obsługiwane
tracks	utwory
tracks	tory
tracks	ścieżki
tracks	szlaki
tracks	ślady
contract	umowa
contract	zlecenie
contract	kontrakt
contract	umowy
face	twarz
face	face
directly	bezpośrednio
spent	spędzony
spent	spędził
girl	dziewczyna
girl	dziewczyny
girl	dziewczynka
girl	dziewczyno
clearly	wyraźnie
clearly	najwyraźniej
junior	junior
francisco	francisco
politics	polityka
politics	politycy
politics	polityki
greater	większa
greater	większe
greater	większy
greater	większej
presented	przedstawiona
presented	przedstawiony
presented	prezentowane
presented	przedstawione
presented	przedstawiono
mar	mar
cause	przyczyna
volume	objętości
volume	wielkość
volume	objętość
volume	pojemność
caused	spowodowane
caused	wywołane
caused	spowodował
caused	spowodowało
caused	spowodowała
tom	tomek
tom	tom
flight	lotu
flight	lot
candidate	kandydata
candidate	kandydaci
candidate	kandydat
passed	zdał
passed	przeszedł
passed	minęło
matches	dopasowania
matches	mecze
matches	zapałki
claimed	twierdził
claimed	twierdziło
claimed	twierdziły
claimed	twierdziła
oil	oleje
oil	oleju
oil	olej
oil	oliwa
assistant	asystenta
assistant	asystent
assistant	pomocnik
assistant	asystentka
surface	powierzchnię
surface	powierzchni
surface	powierzchnia
victory	zwycięstwa
victory	zwycięstwo
regiment	pułk
regiment	pułku
stories	zdarzenia
stories	opowiadania
stories	historie
stories	opowieści
represented	reprezentował
represented	reprezentowane
represented	reprezentowany
represented	reprezentowana
gets	zdobywa
gets	dostaje
speedy	speedy
weeks	tygodni
weeks	tygodniami
weeks	tygodniach
weeks	tygodnie
listing	listing
allow	umożliwić
branch	gałęzi
branch	gałąź
branch	oddział
branch	branch
retired	emerytowany
communities	społeczności
communities	wspólnot
communities	wspólnoty
train	pociągiem
train	pociągu
train	pociąg
train	pociągi
paper	papier
adding	dodawanie
adding	dodanie
provides	zapewnia
provides	dostarcza
remains	pozostaje
victoria	wiktoria
victoria	wiktorii
victoria	victoria
metal	metale
metal	metalowe
metal	metalowy
metal	metal
wrong	źle
larger	większy
larger	większa
larger	większe
direct	bezpośrednia
direct	bezpośredni
direct	bezpośrednie
direct	direct
frank	frank
frank	franka
miles	miles
miles	kilometrów
miles	mile
miles	kilometry
miles	mil
blocked	zablokowany
blocked	zablokowana
blocked	zablokowane
launched	rozpoczęła
launched	uruchomiony
launched	uruchomiona
launched	uruchomiono
mass	mass
mass	masie
mass	masy
mass	masa
mass	msza
chairman	przewodniczący
chairman	prezes
chairman	przewodniczącego
chairman	prezesie
comedy	komedia
comedy	komedii
relationship	relacje
relationship	związku
relationship	relacja
relationship	stosunki
relationship	związek
knowledge	wiedzy
knowledge	wiedza
knowledge	znajomość
knowledge	wiedzę
format	formatu
format	formacie
format	format
creek	creek
meeting	spotkania
meeting	posiedzenie
meeting	zebranie
meeting	spotkanie
failed	nieudane
failed	niepowodzenie
officers	funkcjonariusze
officers	oficerowie
officers	oficerów
draft	szkic
goes	idzie
fight	walka
fight	walcz
figure	rysunek
figure	figura
faculty	wydział
faculty	kadra
camp	obozy
camp	obozu
camp	camp
camp	obóz
ran	biegał
ran	biegł
variety	odmiany
variety	odmianę
variety	odmiana
variety	różnorodność
owner	właścicielka
owner	właściciela
owner	właściciel
statistics	statystyka
statistics	statystyki
raised	podniesione
raised	podniesiony
raised	wychowana
raised	wychowany
raised	wychował
heavy	heavy
heavy	ciężkie
heavy	ciężki
heavy	ciężka
alexander	aleksandr
alexander	aleksandra
alexander	aleksander
alexander	alexander
alone	samotnie
alone	sama
alone	sam
understand	zrozumieć
understand	zrozum
episodes	odcinki
episodes	odcinków
gives	oddaje
gives	nadaje
gives	daje
educational	wykształcenie
educational	edukacyjne
educational	edukacyjny
educational	edukacyjnych
educational	edukacja
daily	dzienna
daily	daily
daily	codziennie
daily	codzienne
daily	dziennie
williams	williamsa
williams	williams
latin	łacińskiej
completely	całkowicie
products	wyroby
products	produktów
products	produkty
dark	dark
dark	ciemno
dark	ciemne
dark	ciemna
dark	ciemny
attention	uwaga
religion	religie
religion	religii
religion	wyznanie
religion	religia
referred	określone
von	von
mind	umysłu
mind	umysł
corps	korpus
corps	korpusu
administrative	administracyjna
administrative	administracyjny
administrative	administracyjne
cut	cięcie
scott	scotta
scott	scott
footballer	piłkarz
jean	jean
jean	jeana
mayor	burmistrz
mayor	burmistrza
pro	zawodowiec
pro	pro
beach	plaża
descent	zejście
nearly	niemal
nearly	prawie
leaving	odejście
leaving	odchodzi
leaving	wyjazd
leaving	pozostawienie
leaving	zostawiając
leaving	opuszczenie
highly	wysoce
cast	obsady
cast	gips
territory	terytoria
territory	terytorium
write	piszcie
write	pisać
write	napisać
write	napisz
write	pisz
towns	miasta
towns	miejscowości
towns	miasteczka
forms	formularze
forms	formy
forms	formularzy
joe	joe
joe	joego
inside	wewnątrz
wanted	poszukiwana
wanted	chciał
wanted	poszukiwany
wanted	poszukiwani
solid	stałe
solid	solidne
solid	solidna
solid	solidny
authority	autorytet
authority	władza
authority	organ
mention	wzmianka
mention	wspomnieć
projects	projektów
projects	projekty
del	del
continue	kontynuować
cost	koszt
cost	koszty
vice	wice
vice	vice
drive	drive
drive	prowadzić
drive	napęd
notice	zauważ
notice	zawiadomienie
johnson	johnsona
johnson	johnson
forced	zmuszony
forced	zmuszeni
basis	podstawa
basis	podstawie
basis	podstawy
looks	wygląda
looks	wygląd
reasons	powody
reasons	przyczyny
job	zlecenie
job	pracy
job	praca
photo	zdjęcia
photo	foto
photo	fotografia
photo	zdjęcie
hope	nadzieja
hope	hope
hope	oby
log	dziennik
log	log
parents	rodzicami
parents	rodziców
parents	rodzice
entered	wprowadzone
entered	wpisane
entered	wprowadzony
mike	mike
mike	mika
basic	podstawowe
basic	podstawowego
basic	podstawowy
basic	podstawowa
scientific	naukowy
scientific	naukowa
scientific	naukowe
amount	kwota
amount	ilość
spring	wiosenny
spring	spring
spring	wiosny
spring	wiosna
oxford	oxford
kong	kongu
kong	kong
opera	opera
opera	opery
opera	operę
opera	operze
tried	próbowałem
tried	próbowałeś
critical	krytyczne
critical	krytyczna
critical	krytyczny
critical	krytycznych
simple	prosty
simple	prosta
simple	proste
founder	założyciel
hong	hong
husband	mąż
husband	mężu
husband	maz
useful	użyteczny
useful	przydatne
useful	użyteczne
useful	przydatny
useful	przydatna
technical	techniczne
technical	techniczny
technical	techniczna
necessary	niezbędny
necessary	konieczny
necessary	konieczna
necessary	niezbędne
necessary	konieczne
believed	uwierzyli
believed	wierzył
believed	wierzyli
operated	obsługiwany
operated	operował
operated	obsługiwane
operated	użytkowane
mountains	gór
mountains	góry
importance	znaczenie
musicians	muzyków
musicians	muzycy
hotel	hotel
girls	dziewczyny
girls	dziewczynki
girls	girls
girls	dziewczęta
crew	ekipa
crew	załogi
crew	załoga
crew	ekipy
feb	luty
feb	lutego
boy	boy
boy	chłopak
boy	chłopiec
ontario	ontario
nation	narodu
nation	naród
defense	obronie
defense	obrony
defense	obrona
wiki	wiki
champions	mistrzowie
champions	mistrzów
golden	złote
golden	golden
golden	złoty
golden	złota
districts	dzielnice
districts	okręgi
districts	okręgów
faith	wierze
faith	faith
faith	wiara
faith	wiary
faith	wiarę
racing	wyścig
racing	racing
racing	wyścigi
racing	ściganie
mainly	głownie
mainly	głównie
auto	auto
auto	automatyczne
auto	automatycznie
lives	mieszka
lives	żyje
swedish	szwedzki
swedish	szwedzkie
swedish	szwedzka
hot	gorąco
hot	hot
hot	gorące
hot	gorąca
hot	gorący
entertainment	rozrywkę
entertainment	rozrywka
entertainment	entertainment
entertainment	rozrywki
net	net
net	sieć
net	siatka
net	netto
creation	tworzenie
creation	tworzenia
creation	utworzenie
creation	stworzenie
product	produkt
product	wyrób
product	produktu
product	produkty
tower	wieża
tower	tower
tower	wieży
increased	zwiększone
increased	zwiększona
increased	zwiększony
increased	zwiększenie
votes	głosy
votes	głosów
votes	głosowania
squadron	eskadra
contemporary	nowoczesny
contemporary	współczesny
contemporary	współczesnej
contemporary	współczesne
contemporary	współczesna
focus	skupienie
focus	koncentracja
focus	skupić
marriage	ślub
marriage	małżeństwo
marriage	małżeństwa
questions	pytania
questions	pytań
naval	marynarki
details	detale
details	szczegóły
forward	naprzód
memorial	memorial
memorial	pomnik
peace	pokoju
peace	peace
peace	pokój
kept	trzymane
kept	trzymany
iran	iranie
iran	iranu
iran	irański
iran	iran
korea	korea
analysis	analizy
analysis	analiza
winners	wygrane
winners	zwycięzców
winners	zwycięzcy
winners	zwycięzcami
poor	biedny
poor	biedne
poor	biedna
grade	stopień
grade	klasie
cricket	krykieta
judge	judge
judge	sędziego
judge	sędzia
electric	elektryczny
electric	elektryczne
electric	electric
exist	istnieją
corporation	corporation
corporation	korporacji
corporation	korporacja
campus	kampusu
campus	kampus
campus	kampusie
brazil	brazylia
chris	chris
chris	chrisa
chris	chrisem
beyond	poza
fifth	piątej
fifth	piąte
fifth	piąta
fifth	piąty
increase	zwiększenie
increase	wzrost
summary	streszczenie
summary	zestawienie
summary	podsumowanie
remaining	pozostało
remaining	pozostały
remaining	pozostała
statement	deklaracja
statement	oświadczenie
statement	oświadczenia
statement	stwierdzenie
broadcast	transmisje
broadcast	transmisja
broadcast	nadawanie
broadcast	transmisji
piano	pianinie
piano	fortepian
piano	pianino
des	des
novels	powieści
serving	służyć
hour	godz
hour	godzina
hour	godzinę
hour	godziny
moving	przenoszenie
moving	przeprowadzka
moving	przeprowadzki
resolution	rozdzielczość
resolution	rezolucja
resolution	rozdzielczości
resolution	rezolucji
concept	koncepcja
concept	pojęcie
concept	koncepcji
alternative	alternatywna
alternative	alternatywne
alternative	alternatywa
alternative	alternatywny
alternative	alternatywnie
brothers	bracia
brothers	braci
attacks	ataki
attacks	ataków
attacks	atakuje
encyclopedia	encyklopedia
republican	republikanów
republican	republikanie
representatives	przedstawicieli
representatives	reprezentantów
representatives	przedstawiciele
politicians	politycy
politicians	polityków
difficult	trudna
difficult	trudny
difficult	trudne
ability	zdolność
ability	umiejętność
studied	zbadane
studied	badano
studied	badane
studied	studiował
studied	badany
host	gospodarza
host	przyjmujące
host	organizator
host	gospodarz
wall	ściany
wall	ściana
wall	mur
wall	mury
wall	ścianie
wall	tablica
immediately	natychmiast
urban	urban
urban	miejskie
urban	miejski
urban	miejskich
urban	miejska
pakistan	pakistan
pakistan	pakistanie
pakistan	pakistanu
becomes	staje
marine	żołnierz
marine	morski
marine	marine
marine	morskie
physical	fizyczne
physical	fizyczna
physical	fizyczny
dec	grudzień
dec	dec
troops	żołnierzy
troops	wojska
troops	oddziały
interview	wywiad
interview	wywiady
interview	przesłuchanie
interview	rozmowa
coming	przyjdzie
suggest	sugerują
suggest	zaproponuj
suggest	zasugerować
emperor	imperator
emperor	cesarzem
emperor	cesarza
emperor	cesarz
letter	list
letter	pismo
letter	litera
couple	para
duke	duke
duke	książę
gallery	galerii
gallery	galeria
follow	follow
follow	obserwuj
follow	śledź
windows	windows
windows	okna
windows	okien
tree	drzewo
tree	drzewko
tree	drzewa
hits	trafień
hits	trafienia
hits	uderza
jazz	jazz
jazz	jazzu
protection	ochrona
protection	ochrony
relevant	istotne
relevant	istotna
relevant	stosowne
relevant	odpowiednich
count	liczyć
count	licz
count	hrabia
situation	sytuacje
situation	sytuacji
situation	sytuacja
reviews	recenzje
reviews	przeglądy
reviews	recenzji
reviews	opinie
containing	zawierająca
containing	zawierającej
containing	zawierający
containing	zawierające
classical	klasycznego
classical	klasyka
classical	klasyczna
classical	klasyczny
classical	klasyczne
offered	oferowane
offered	oferowana
lady	pani
lady	dama
netherlands	niderlandy
netherlands	holandii
netherlands	holandia
reports	raporty
reports	sprawozdania
reports	zgłoszenia
reports	raportów
influence	wpływ
influence	wpływy
address	adres
linear	liniowe
consider	rozważ
machine	machine
machine	automat
machine	maszyny
machine	maszyna
domain	domena
domain	dziedzina
domain	domeny
elements	elementy
elements	pierwiastki
minnesota	minnesota
types	typy
types	rodzaje
nov	listopada
nov	listopad
serve	służyć
sydney	sydney
ministry	ministerstwa
ministry	ministerstwo
blood	krwi
blood	blood
blood	krew
distance	odległość
distance	dystans
distance	odległości
bottom	dół
bottom	dno
bottom	dnie
bottom	dole
bottom	dolna
giving	daje
giving	dawanie
boys	boys
boys	chłopcy
boys	chłopaki
potential	potencjał
toronto	toronto
infantry	piechoty
infantry	piechotę
infantry	piechota
jun	jun
jun	czerwiec
formerly	dawniej
oct	październik
conflict	konflikty
conflict	konfliktu
conflict	konflikt
workers	pracowników
workers	pracownicy
workers	robotnicy
steve	steve
philadelphia	filadelfii
helped	pomogły
helped	pomogło
helped	pomógł
der	der
nationality	obywatelstwo
nationality	narodowość
dispute	sporu
dispute	spór
scene	scena
method	metoda
method	metody
method	sposób
titles	tytułów
titles	tytuły
berlin	berlin
conditions	warunki
arms	ramiona
arms	broń
arms	ręce
races	wyścigi
races	ras
races	rasy
maybe	może
discovered	odkryte
discovered	odkrył
discovered	odkryto
iron	żelazna
iron	żelazo
iron	żelaza
iron	iron
iron	żelazko
extended	rozszerzone
extended	rozszerzona
extended	rozszerzony
extended	przedłużony
churches	kościoły
otherwise	inaczej
positive	pozytywna
positive	pozytywne
positive	dodatni
positive	pozytywnie
positive	pozytywny
santa	mikołaj
nom	nom
imperial	cesarska
imperial	imperial
composed	złożona
composed	złożony
ball	piłkę
ball	ball
ball	piłka
ball	kula
width	szerokość
width	szerokości
quickly	szybko
correct	poprawna
correct	prawidłowo
correct	poprawny
correct	poprawne
responsible	odpowiedzialny
responsible	odpowiedzialna
responsible	odpowiedzialne
possibly	prawdopodobnie
indiana	indiana
soldiers	żołnierzy
soldiers	żołnierze
examples	przykładów
examples	przykłady
korean	koreański
korean	korei
genre	gatunek
fish	ryby
fish	ryba
fish	ryb
fish	rybka
fish	rybki
senate	senatu
senate	senat
effects	efekty
effects	skutki
gun	broń
gun	pistolet
gun	gun
check	sprawdź
check	zaznacz
check	sprawdzanie
appearances	pozory
plans	planów
plans	planuje
plans	plany
sign	podpisz
sign	znak
reporting	zgłaszanie
reporting	raporty
sweden	szwecji
sweden	szwecja
heritage	dziedzictwo
heritage	dziedzictwa
tag	znacznik
tag	tag
tag	oznacz
doctor	doktorze
doctor	lekarz
leaders	przywódców
leaders	liderów
leaders	przywódcy
leaders	liderzy
lies	kłamstwo
lies	kłamstwa
inc	inc
rivers	rzek
rivers	rzeki
rivers	rivers
crime	przestępstwo
crime	przestępczość
crime	przestępstwa
crime	zbrodnie
crime	zbrodni
crime	zbrodnia
liberal	liberalne
stand	stać
stand	stoisko
bob	bob
bob	boba
existing	istniejące
existing	istniejąca
existing	istniejących
existing	istniejący
publishing	wydawnictwo
publishing	publikacja
publishing	wydawnictwa
publishing	publikacje
publishing	publikowania
publishing	publikowanie
industrial	przemysłowy
industrial	przemysł
industrial	przemysłowych
industrial	przemysłowe
answer	odpowiedz
answer	odpowiedź
split	podział
split	podziel
split	split
apr	apr
apr	kwiecień
sex	płci
sex	płeć
sex	seksu
sex	seks
sex	sex
mixed	zmieszane
mixed	mieszane
mixed	mieszana
mixed	mieszany
mixed	mieszanej
acting	działające
acting	aktorstwo
acting	stanowiąc
personnel	personelu
personnel	personel
rail	kolei
rail	kolej
rail	szyny
die	die
premier	premier
premier	premiera
premier	premierze
approach	podejście
approach	podejścia
wisconsin	wisconsin
sentence	wyrok
sentence	zdanie
sentence	zdania
root	korzenie
root	korzeń
root	root
root	pierwiastek
ago	temu
standards	standardy
standards	normy
standards	norm
comics	komiks
comics	komiksów
comics	komiksy
earned	zarobił
miss	panna
specifically	konkretnie
specifically	specjalnie
horse	konia
horse	horse
horse	konie
horse	koń
horse	koniu
actual	rzeczywista
actual	rzeczywisty
actual	faktyczny
actual	rzeczywiste
actual	faktyczne
contributions	składki
contributions	składek
contributions	wkłady
carried	niósł
carried	przewożonych
carried	przewożone
lieutenant	porucznik
wood	drewno
wood	wood
wood	drewna
plants	rośliny
plants	roślin
initial	początkowy
initial	wstępne
initial	początkowe
initial	początkowa
origin	pochodzenia
origin	pochodzenie
environment	środowiska
environment	środowisko
environment	otoczenie
pretty	ładny
pretty	śliczna
pretty	całkiem
pretty	ładna
pretty	ładne
rank	stopień
rank	rangi
bus	autobusem
bus	autobus
gas	gazu
gas	gaz
direction	kierunku
direction	kierunek
guide	przewodniku
guide	poradnik
guide	przewodnikiem
guide	przewodnika
guide	przewodnik
resources	zasoby
resources	zasobów
resources	środki
affairs	romanse
affairs	spraw
accepted	przyjęta
accepted	przyjęty
accepted	zaakceptowane
accepted	akceptowane
accepted	przyjęte
animals	zwierząt
animals	zwierzęta
activity	aktywność
activity	działalności
activity	czynność
activity	działalność
activity	aktywności
levels	poziomy
levels	poziomów
laws	prawa
jim	jim
jim	jima
creating	tworzenie
creating	tworzeniu
creating	tworzenia
cambridge	cambridge
composer	kompozytor
composer	edytor
remove	usuń
remove	usunąć
agency	agencji
agency	agencję
agency	agencja
reserve	rezerwa
reserve	rezerwat
reserve	rezerwę
reserve	rezerwy
atlantic	atlantyku
atlantic	atlantic
atlantic	atlantyk
atlantic	atlantycki
supreme	najwyższa
supreme	najwyższy
weight	ciężar
weight	wagi
weight	waga
ask	pytaj
ask	zapytaj
ask	poproś
fighting	walka
fighting	walki
jackson	jackson
rose	rose
rose	róża
operating	operacyjny
operating	operacyjnych
treatment	traktowanie
treatment	leczenie
treatment	kuracja
treatment	obróbka
linked	połączone
linked	powiązane
andrew	andrzej
andrew	andrzeja
andrew	andrew
trial	proces
trial	próba
trial	rozprawa
expanded	rozszerzone
expanded	rozszerzony
expanded	rozszerzona
daniel	daniela
daniel	daniel
info	info
info	informacje
info	informacja
fame	sława
fame	sławę
fame	sławy
everything	wszystko
avenue	aleja
avenue	avenue
travel	podróż
travel	podróży
travel	podróże
scale	skali
scale	skala
break	break
break	przerwa
break	złamać
oregon	oregon
housing	mieszkalnictwa
capacity	pojemności
capacity	pojemność
capacity	zdolność
#efefef	#efefef
smaller	mniejszej
smaller	mniejsze
smaller	mniejszy
smaller	mniejsza
fictional	fikcyjna
exchange	giełda
exchange	wymiany
exchange	wymiana
actions	działania
actions	akcje
actions	czyny
typically	zazwyczaj
typically	zwykle
typically	typowo
settlement	osady
settlement	ugoda
settlement	rozliczenie
settlement	osada
settlement	rozrachunku
agreement	porozumienie
agreement	umowa
agreement	porozumienia
translation	tłumaczenie
translation	tłumacz
translation	tłumaczenia
males	samców
males	mężczyzn
males	samce
males	mężczyźni
kansas	kansas
managed	zarządzane
managed	udało
managed	zarządzany
bring	przynieść
charge	opłata
charge	ładunek
fails	zawodzi
dedicated	poświęcone
dedicated	oddany
dedicated	poświęcona
dedicated	poświęcony
dedicated	oddani
estate	osiedle
estate	posiadłości
nearby	pobliżu
nearby	niedaleko
residents	rezydentów
residents	mieszkańców
residents	mieszkańcy
piece	kawałek
piece	kawałku
growth	rozwój
growth	wzrostu
growth	wzrost
trust	zaufanie
trust	trust
applied	zastosowano
applied	stosowane
applied	zastosowane
applied	stosowana
applied	zastosowana
applied	zastosowany
drums	beczki
drums	bębny
issued	wyemitowane
issued	wydany
issued	wydane
issued	wydawane
issued	wydano
murder	morderstwa
murder	zabójstwo
murder	morderstwo
normal	normalne
normal	normalnie
normal	normalny
normal	normalna
twenty	dwadzieścia
commonly	powszechnie
avoid	uniknąć
avoid	unikać
avoid	unikaj
tony	tony
norwegian	norweskie
norwegian	norweskiego
norwegian	norweski
criteria	kryterium
criteria	kryteria
context	kontekst
context	kontekście
context	kontekstu
suggested	zasugerował
suggested	proponowane
suggested	proponowany
revolution	rewolucja
revolution	rewolucji
wars	wojen
wars	wojny
prominent	wybitny
aug	sierpień
leaves	liści
leaves	liście
advanced	zaawansowanych
advanced	zaawansowane
advanced	zaawansowana
advanced	zaawansowany
distribution	dystrybucji
distribution	dystrybucja
distribution	rozkład
medicine	medycyny
medicine	lekarstwo
medicine	medycyna
medicine	lekarstwa
garden	ogrodu
garden	ogród
garden	ogródek
garden	ogrodzie
reach	zasięg
reach	reach
turkey	turcja
turkey	indyk
turkey	turcji
females	samice
publications	publikacji
publications	wydawnictwa
publications	publikacje
impact	wpływ
impact	zderzenie
impact	uderzenie
impact	uderzenia
impact	oddziaływanie
survey	ankieta
survey	ankiety
survey	ankietę
height	wysokości
height	wzrost
height	wysokość
morning	rano
morning	poranek
honor	honoru
honor	zaszczyt
honor	honor
honor	honorem
deep	głęboka
deep	głęboki
deep	głęboko
deep	głębokie
deep	deep
argument	kłótnia
argument	argument
argument	argumenty
publication	publikacja
publication	publikacji
publication	publikowanie
publication	publikacje
arthur	arthur
arthur	arturze
arthur	artur
elizabeth	elżbieta
elizabeth	elizabeth
disambiguation	ujednoznacznienie
worth	warto
worth	warte
worth	worth
worth	warta
colorado	kolorado
colorado	colorado
median	mediana
maryland	maryland
falls	spada
falls	falls
falls	opada
falls	wodospad
zone	strefie
zone	obszar
zone	zone
zone	strefy
zone	strefa
solo	solo
learning	nauka
pay	zapłacić
resolves	rozwiązuje
resolves	ustępuje
choice	wyboru
choice	wybór
vol	vol
vol	obj
flag	flaga
flag	bandery
flag	flagi
flag	flag
flag	flagę
engineer	inżynier
cars	samochody
cars	samochodów
farm	farma
farm	farmie
farm	gospodarstwa
farm	gospodarstwo
wilson	wilson
wilson	wilsona
principal	dyrektor
principal	główny
acquired	pozyskane
acquired	zdobyte
acquired	nabyte
constructed	zbudowany
constructed	skonstruowane
constructed	zbudowane
secret	sekret
secret	secret
secret	tajne
secret	tajemnica
poet	poeta
poet	poetą
build	zbudować
build	budować
build	budowanie
remain	pozostać
orchestra	orkiestrę
orchestra	orkiestra
orchestra	orkiestry
versions	wersji
versions	wersjach
versions	wersje
follows	następuje
fixed	stałe
fixed	stały
fixed	stała
fixed	ustalone
fixed	ustalona
efforts	wysiłek
efforts	starania
efforts	wysiłki
documentary	dokument
equipment	wyposażenie
equipment	sprzęt
ray	ray
yellow	żółte
yellow	żółta
yellow	żółty
guard	straż
guard	strażnik
pressure	presja
pressure	ciśnienie
pressure	nacisk
grant	dotacja
grant	grant
prison	więzieniu
prison	więzienie
freedom	swoboda
freedom	freedom
freedom	wolność
freedom	wolności
norway	norwegia
norway	norwegii
twice	dwukrotnie
store	sklepie
store	sklep
store	store
taylor	taylora
taylor	taylor
quarter	kwartał
quarter	kwartale
designated	wyznaczony
designated	wyznaczona
designated	wskazany
designated	wyznaczone
designated	wskazane
independence	niezależność
independence	niezależności
independence	niepodległości
independence	niepodległość
platform	peron
platform	platformie
platform	platforma
platform	platformy
platform	platform
rome	rzym
teacher	nauczycielu
teacher	nauczyciel
teacher	nauczycielka
copy	kopia
copy	skopiuj
copy	kopiuj
copy	kopiowanie
effort	wysiłek
effort	nakład
effort	wysiłki
effort	wysiłku
nuclear	nuklearne
nuclear	jądrowa
nuclear	nuklearna
nuclear	jądrowe
nuclear	nuklearny
nuclear	jądrowej
pictures	zdjęcia
pictures	obrazki
pictures	zdjecia
models	wzory
models	modeli
models	modelki
models	modele
sep	sep
everyone	każdy
everyone	wszyscy
easily	łatwo
description	opis
agreed	uzgodnione
agreed	zgoda
institutions	instytucji
institutions	instytucje
covers	pokrywa
covers	okładki
covers	pokrywy
covers	obejmuje
facilities	udogodnienia
target	docelowe
target	cel
target	target
stack	stosie
stack	stack
stack	stos
rationale	przesłanki
rationale	uzasadnienie
combined	połączone
combined	łączone
combined	łącznie
bronze	brązu
bronze	brąz
