the	os
bold	ousado
bowling	boliche
bowling	bowling
compare	comparar
compare	compare
treaties	tratados
affiliated	afiliado
affiliated	filiados
affiliated	afiliada
affiliated	associadas
affiliated	afiliados
sock	meia
sock	sock
assault	assalto
assault	agressão
regards	cumprimentos
monthly	mensal
monthly	mensalmente
monthly	mensais
foster	foster
cousin	primo
cousin	prima
urls	urls
hispanic	hispânica
hispanic	hispânicos
hispanic	hispânico
logic	lógico
logic	lógica
craig	craig
trivial	triviais
trivial	trivial
pioneer	pioneiros
pioneer	pioneiro
pioneer	pioneira
pioneer	pioneer
muslims	muçulmanos
lay	leigos
lay	lay
rated	classificou
rated	avaliado
rated	nominal
rated	classificados
rated	classificado
absence	ausência
amsterdam	amsterdão
amsterdam	amsterdam
amsterdam	amesterdão
amsterdam	amsterdã
publishers	editoras
publishers	editores
tribes	tribos
percussion	percussão
runners	corredores
themes	temáticas
themes	temas
#the	#a
#the	#o
#the	#os
benefits	benefícios
benefits	prestações
benefits	vantagens
guards	guardas
flows	fluxos
attributed	atribuídos
attributed	atribuído
attributed	atribuída
attributed	atribuídas
athens	atenas
herbert	herbert
celebrated	celebrada
celebrated	celebrado
celebrated	celebrou
celebrated	comemorado
celebrated	celebrados
sponsored	patrocinada
sponsored	patrocinadas
sponsored	patrocinado
sponsored	patrocinados
raf	raf
asks	pede
delaware	delaware
neil	neil
pole	pólo
pole	pole
pole	polo
pole	poste
pole	varão
ref	árbitro
ref	ref
historically	historicamente
tail	tail
tail	cauda
tail	rabo
tours	passeios
tours	tours
stable	estável
stable	estáveis
stable	estábulo
decides	decide
vessel	recipiente
vessel	embarcação
vessel	navio
identification	identificação
delta	delta
writes	escreve
mediterranean	mediterrânico
mediterranean	mediterrâneo
mediterranean	mediterrânica
volunteers	voluntários
volunteers	voluntárias
reply	responde
reply	resposta
reply	responder
reply	responda
stuart	stuart
marvel	maravilha
marvel	marvel
luke	luke
luke	lucas
grave	sepultura
grave	cova
grave	túmulo
grave	grave
grave	campa
odd	ímpares
odd	estranho
odd	ímpar
hearing	audiência
hearing	audição
uss	uss
mall	mall
mall	shopping
penalty	penalidade
penalty	penalização
penalty	sanção
penalty	pena
solutions	soluções
secure	seguro
secure	segura
hugh	hugo
hugh	hugh
steven	steven
sole	linguado
sole	sola
architects	arquitectos
architects	arquitetos
characteristics	características
falling	caindo
falling	cair
spin	spin
spin	girar
clinton	clinton
villa	villa
select	selecionar
select	seleciona
select	seleccionar
select	selecione
metric	indicador
metric	métrica
criticized	criticada
criticized	criticados
criticized	criticou
criticized	criticado
surviving	sobrevivendo
surviving	sobreviver
roberts	roberts
standings	classificações
biological	biológica
biological	biológicas
biological	biológicos
biological	biológico
lloyd	lloyd
munich	munique
belongs	pertence
adelaide	adelaide
belong	pertencem
belong	pertences
belong	pertença
belong	pertencer
harold	harold
harold	haroldo
norfolk	norfolk
butler	butler
butler	mordomo
rival	rival
acoustic	acústica
acoustic	acústicos
acoustic	acústicas
acoustic	acústico
posts	postagens
posts	posts
posts	publicações
adaptation	adaptação
greg	greg
reporter	repórter
reporter	reporter
url	url
absolutely	absolutamente
nobody	ninguém
nobody	ninguem
scholarship	bolsa
vast	vasto
vast	vasta
vast	vastos
vast	vastas
exit	saida
exit	saída
exit	sair
facing	enfrentando
facing	encarando
inquiry	inquérito
dual	dupla
dual	duplo
dual	dual
belt	cinto
belt	cinturão
belt	correia
noticed	notada
noticed	notou
noticed	reparou
noticed	notado
patent	patente
patent	patentes
mathematical	matemático
rarely	raramente
submission	apresentação
submission	envio
submission	finalização
submission	submissão
demographics	demografia
crowd	multidão
rick	rick
governments	governos
bonus	bonus
bonus	bônus
bonus	bónus
tourist	turistas
tourist	turista
mystery	mystery
mystery	mistério
click	clica
click	click
click	clique
settlements	assentamentos
walking	caminhada
walking	passear
walking	andar
walking	caminhar
voters	eleitores
voters	votantes
rifle	espingarda
rifle	carabina
rifle	fuzil
rifle	rifle
component	componente
civilian	civil
civilian	civis
partial	parcial
partial	parciais
encouraged	encorajou
encouraged	incentivados
encouraged	encorajados
encouraged	incentivado
encouraged	encorajada
encouraged	encorajado
birthday	aniversário
birthday	aniversario
eddie	eddie
eddie	eddy
christians	cristãos
denver	denver
petersburg	petersburgo
researchers	investigadores
researchers	pesquisadores
partly	parcialmente
photographer	fotógrafa
photographer	fotografo
photographer	fotógrafo
runtime	runtime
jon	jon
obama	obama
seemed	parecia
seemed	pareceu
clock	relógio
violin	violino
highways	autoestradas
highways	estradas
highways	rodovias
holiday	feriado
holiday	férias
distinction	distinção
makeup	maquiagem
makeup	makeup
makeup	maquilhagem
catherine	catherine
catherine	catarina
font	fonte
farmers	agricultores
farmers	fazendeiros
farmers	lavradores
occasions	ocasiões
guideline	directriz
guideline	orientação
photograph	fotografa
photograph	fotografia
photograph	fotografar
struggle	luta
timestamp	timestamp
produces	produz
yale	yale
options	opções
pen	pen
pen	caneta
pen	canetas
procedure	procedimento
jacob	jacob
jacob	jacó
convicted	condenado
convicted	condenados
convicted	condenada
transition	transição
anglo	anglo
legacy	legado
legacy	legacy
legacy	legados
legacy	herança
denied	recusado
denied	negado
denied	negou
denied	negada
denied	recusada
relationships	relações
relationships	relacionamentos
ottawa	otava
ottawa	ottawa
derby	derby
surrounded	cercados
surrounded	cercada
surrounded	rodeada
surrounded	rodeado
surrounded	cercado
libraries	bibliotecas
competing	competindo
competing	competir
speakers	falantes
speakers	oradores
grades	graus
hudson	hudson
administrators	administradores
sacred	sagrado
sacred	sagrados
sacred	sagrada
signing	assinar
signing	assinando
signing	assinatura
rob	rob
rob	roubar
citizen	cidadã
citizen	cidadão
dogs	cães
dogs	cachorros
argue	argumentar
believes	crê
believes	acredita
annually	anualmente
cardinal	cardeal
cardinal	cardinal
nepal	nepal
intersection	intersecção
intersection	cruzamento
discussing	discutindo
reveals	revela
defeating	derrotar
defeating	derrotando
disputes	diferendos
disputes	litígios
disputes	disputas
beam	feixe
beam	trave
beam	viga
overseas	ultramarinos
overseas	ultramar
perry	perry
nickname	apelido
nickname	alcunha
syria	síria
wells	poços
wells	wells
contributing	contribuindo
contributing	contribuir
ultimate	derradeira
ultimate	ultimate
ranks	fileiras
danny	danny
danny	danni
retail	varejo
retail	retalho
favorite	favorita
favorite	preferida
favorite	preferido
favorite	favorito
vermont	vermont
begun	iniciado
begun	iniciada
begun	começou
download	download
download	baixar
download	baixe
download	transferir
download	descarregar
trusted	confiáveis
trusted	confiável
trusted	confiado
appointment	nomeação
appointment	marcação
ballet	ballet
ballet	balé
jefferson	jefferson
sand	areia
angle	angle
angle	ângulo
sessions	sessões
recreation	recriação
recreation	recreação
wearing	vestindo
kenya	quénia
kenya	quênia
accessible	acessível
accessible	acessíveis
ralph	ralph
thread	fio
disruptive	perturbador
spend	gasto
spend	gastar
spend	gaste
spend	gasta
spend	gastos
spend	passar
ninth	nono
ninth	nona
arrest	prisão
arrest	detenção
choir	coral
choir	coro
trials	julgamentos
trials	ensaios
mines	minas
injuries	lesões
injuries	ferimentos
rapidly	rapidamente
rounds	rondas
rounds	rodadas
competitive	competitivas
competitive	competitiva
competitive	competitivo
competitive	competitivos
opportunities	oportunidades
meetings	encontros
meetings	reuniões
commented	comentado
commented	comentou
commented	comentaram
wang	wang
woods	floresta
woods	bosque
woods	bosques
exercise	exercicio
exercise	exercício
exercise	exercícios
jacques	jacques
objective	objectivo
objective	objetivo
demolished	demolido
demolished	demolida
preferred	preferência
preferred	preferencial
preferred	preferida
preferred	preferido
resort	estância
resort	resort
pedro	pedro
robot	robô
robot	robot
venezuela	venezuela
segment	segmento
studying	estudando
studying	estudar
edwards	edwards
aim	aim
aim	pontaria
aim	apontar
dancing	dança
dancing	dançando
dancing	dançar
dancing	dancing
eagles	águias
eagles	eagles
demonstrated	demonstrou
demonstrated	demonstraram
demonstrated	demonstrado
demonstrated	demonstrada
tribute	tributo
tribute	tributos
tribute	homenagem
continuous	contínua
continuous	contínuo
continuous	contínuas
continuous	contínuos
encourage	incentivar
encourage	encorajar
encourage	encoraja
spider	spider
spider	aranha
acted	agia
acted	agi
acted	atuou
acted	agiu
convinced	convencidos
convinced	convencido
convinced	convencidas
convinced	convencida
convinced	convicto
heroes	heróis
heroes	heroes
describing	descrevendo
rocks	rochedos
rocks	pedras
rocks	rochas
rocks	rocks
bed	cama
gap	lacuna
gap	fosso
gap	gap
reflect	reflita
reflect	refletir
reflect	reflectir
mars	marte
mars	mars
participating	participando
participating	participar
cooperation	cooperação
obtain	obter
gothic	gótica
gothic	gótico
protest	protesto
protest	protestar
protest	protestos
hunting	caça
hunting	caçar
hunting	caçando
hunting	caçada
frequent	frequentes
frequent	frequente
conversion	conversão
conversion	reconversão
stress	stress
stress	estresse
stress	stresse
manufacturers	fabricantes
checkuser	checkuser
voiced	dublado
traditionally	tradicionalmente
jose	jose
jose	josé
adventures	aventuras
adventures	adventures
tiger	tiger
tiger	tigresa
tiger	tigres
tiger	tigre
totally	totalmente
totally	completamente
concentration	concentração
sing	sing
sing	cante
sing	cantem
sing	cantar
sing	canta
rocket	foguetão
rocket	foguetes
rocket	foguete
rocket	rocket
electricity	eletricidade
electricity	electricidade
shadow	sombras
shadow	sombra
shadow	shadow
boxing	boxe
senators	senadores
doc	doc
doc	doutora
doc	doutor
stanford	stanford
machines	máquinas
machines	maquinas
vegas	vegas
saved	salvo
saved	salva
saved	salvou
saved	salvos
saved	guardado
saved	guardados
jury	jurado
jury	juri
jury	jurados
jury	júri
calendar	calendário
noble	noble
noble	nobres
noble	nobre
tommy	tommy
guilty	culpada
guilty	culpado
guilty	culpados
leo	léo
leo	leão
leo	leo
handle	alça
extinct	extinta
extinct	extinto
extinct	extintos
responded	respondeu
responded	responderam
shares	compartilhamentos
shares	acções
shares	ações
shares	partilhas
manufacturer	fabricante
tales	contos
tales	tales
implementation	implementação
implementation	execução
truck	camião
truck	caminhão
spelling	ortografia
item	item
load	carregar
load	carga
customers	clientes
adds	adiciona
adds	acrescenta
adds	adições
spaces	espaços
cap	boné
cap	cap
cap	pac
orphaned	órfão
orphaned	órfã
ferry	ferry
ferry	balsa
prefer	prefere
prefer	prefiro
prefer	prefira
prefer	preferir
push	push
push	empurra
push	empurrar
lie	mentira
lie	mentir
lie	minta
lie	lie
berkeley	berkeley
lebanon	líbano
madison	madison
throne	trono
attracted	atraídas
attracted	atraiu
attracted	atraído
attracted	atraídos
lion	leão
retrieved	recuperado
retrieved	recuperados
retrieved	recuperada
manor	manor
manor	mansão
promoting	promover
promoting	promovendo
promoting	promoção
saudi	saudita
serial	serial
serial	seriado
serial	série
rogers	rogers
lights	lights
lights	luzes
grandfather	avô
grandfather	vovô
grandfather	avo
gauge	gabarito
gauge	bitola
concerts	concertos
concerts	shows
elder	elder
elder	ancião
renaissance	renascença
renaissance	renascimento
renaissance	renascentista
uniform	farda
uniform	uniforme
uniform	uniformes
chase	perseguição
chase	chase
aka	aka
computers	computadores
brisbane	brisbane
susan	susana
susan	susan
raymond	raymond
raymond	raimundo
flower	flor
flower	flower
col	col
thai	tailandesa
thai	tailandês
thai	thai
thai	tailandeses
disaster	catástrofe
disaster	desastres
disaster	desastre
survive	sobreviver
survive	sobrevive
survive	sobrevivem
survive	sobreviva
involves	envolva
involves	envolve
clothing	roupas
clothing	roupa
clothing	vestuário
murphy	murphy
sharp	afiada
sharp	sharp
sharp	afiados
sharp	afiado
explains	explica
yugoslavia	jugoslávia
yugoslavia	iugoslávia
buddhist	budista
buddhist	budistas
publicly	publicamente
meat	carne
meat	carnes
meat	meat
literally	literalmente
spam	spam
telephone	telefone
moral	morais
moral	moral
sung	cantadas
sung	cantado
sung	sung
sung	cantada
partially	parcialmente
lawyers	juristas
lawyers	advogados
citing	citando
interviews	entrevistas
brunswick	brunswick
radar	radar
radar	radares
spending	gastar
spending	gastos
grove	grove
grove	bosque
tea	chá
elite	elite
elite	elites
bright	brilhante
bright	bright
bright	brilhantes
improving	melhorar
improving	melhoria
improving	melhorando
sierra	serra
heaven	heaven
heaven	paraíso
heaven	céu
athlete	atleta
aspect	aspecto
answers	respostas
ted	ted
consumer	consumidores
consumer	consumidor
funded	financiados
funded	financiado
funded	financiada
exclusive	exclusivo
exclusive	exclusividade
exclusive	exclusiva
exclusive	exclusivas
exclusive	exclusivos
ibn	ibn
manuel	manuel
allies	aliados
reviewer	crítico
reviewer	revisor
missile	mísseis
missile	míssil
mechanism	mecanismo
helen	helena
helen	helen
withdrawn	retirados
withdrawn	retirado
withdrawn	retirada
withdrawn	retiradas
intention	intenções
intention	intenção
mini	mini
casualties	baixas
establishing	estabelecendo
diseases	doenças
rhythm	ritmo
rhythm	rhythm
pat	pat
catch	catch
catch	apanha
catch	apanhar
catch	capturas
catch	captura
poll	enquete
poll	sondagem
listclass	listclass
deck	convés
deck	baralho
deck	deck
newcastle	newcastle
antarctic	antártica
antarctic	antártida
antarctic	antártico
antarctic	antárctica
antarctic	antárctida
leeds	leeds
lasted	durou
lasted	duraram
ranges	gamas
ranges	intervalos
listings	listagem
listings	listas
ordinary	ordinário
ordinary	vulgar
ordinary	ordinária
insects	insetos
insects	insectos
suffering	sofrendo
suffering	sofrimentos
suffering	sofrimento
flash	clarão
flash	flash
worship	adorar
worship	culto
worship	adoração
boundaries	fronteiras
boundaries	limites
blind	blind
blind	cega
blind	cego
blind	cegos
blind	cegas
pakistani	paquistaneses
pakistani	paquistanês
pakistani	paquistanesa
assuming	presumindo
assuming	assumindo
assuming	supondo
interstate	interestadual
patterns	padrões
arrangement	arranjos
arrangement	acordo
arrangement	arranjo
arrangement	convénio
globe	globo
globe	globe
honours	honras
gross	bruta
gross	nojento
gross	gross
gross	brutos
gross	bruto
gilbert	gilberto
gilbert	gilbert
applies	aplica
gradually	gradualmente
youngest	caçula
managing	gerir
managing	gerenciamento
experiment	experimentação
experiment	experiência
experiment	experimento
experiment	experiências
radical	radical
radical	radicais
gov	gov
legs	pernas
opponent	adversário
opponent	opositor
opponent	oponente
diameter	diâmetro
supplies	suprimentos
supplies	fornecimentos
pitch	arremesso
pitch	breu
utility	utilidade
utility	utilitário
opponents	adversários
opponents	oponentes
opponents	opositores
regime	regime
revised	revisto
revised	revista
revised	revisado
plenty	fartura
genera	gêneros
genera	géneros
diplomatic	diplomática
diplomatic	diplomático
diplomatic	diplomáticos
germans	alemães
seal	foca
seal	lacre
seal	selo
gregory	gregory
gregory	gregório
corresponding	correspondente
corresponding	correspondendo
corresponding	correspondentes
concepts	noções
concepts	conceitos
sword	sword
sword	espada
purple	roxo
purple	roxa
purple	púrpura
pending	pendentes
pending	pendente
virus	virus
virus	vírus
populations	populações
bull	touro
bull	boi
bull	bull
drummer	baterista
presents	presentes
presents	apresenta
holland	holanda
holland	holland
bias	viés
merger	fusão
merger	concentração
remote	remota
remote	remoto
sean	sean
messages	mensagens
rebellion	revolta
rebellion	rebeldia
rebellion	rebelião
premiere	estréia
premiere	estreia
physician	médico
victim	vitima
victim	vítima
con	con
cloud	nuvens
cloud	nuvem
cloud	cloud
angels	angels
angels	anjos
noise	ruídos
noise	ruído
noise	barulho
heading	cabeçalho
heading	rumo
heading	direção
heading	rubrica
duo	duo
beer	beer
beer	cerveja
beer	cervejas
palestinian	palestiniano
palestinian	palestinos
palestinian	palestiniana
palestinian	palestino
palestinian	palestina
palestinian	palestinianos
us$	us$
copper	cobre
jurisdiction	competência
jurisdiction	jurisdição
implemented	implementado
implemented	implementada
implemented	implementadas
implemented	implementados
improvements	melhoramentos
improvements	melhorias
ski	esqui
ski	ski
hms	hms
loop	laço
loop	loop
renaming	renomear
drum	tambor
dramatic	dramática
dramatic	dramáticos
dramatic	dramáticas
dramatic	dramático
saskatchewan	saskatchewan
talks	palestras
talks	conversações
earthquake	terremoto
earthquake	terramoto
earthquake	sismo
rhode	rhode
hat	chapéu
hat	cartola
hat	hat
requirement	exigência
requirement	requisito
den	den
tanks	tanques
tanks	cisternas
presidents	presidentes
societies	sociedades
min	min
defending	defender
defending	defendendo
alcohol	álcool
alcohol	alcool
dominated	dominado
dominated	dominados
dominated	dominadas
dominated	dominou
dominated	dominada
sang	sang
sang	cantava
sang	cantou
sang	cantaram
eat	coma
eat	come
eat	comer
graphics	gráficos
asp	asp
coffee	cafezinho
coffee	café
chancellor	chanceler
destroy	destruam
destroy	destrua
destroy	destrói
destroy	destruir
tons	toneladas
cruz	cruz
warsaw	varsóvia
exclusively	exclusivamente
connections	conexões
connections	ligações
rush	rush
heights	heights
heights	alturas
playstation	playstation
outcome	desfecho
outcome	resultado
cardinals	cardeais
fill	preenche
fill	preenchimento
fill	preencher
fill	preencha
fill	encher
recipient	beneficiário
recipient	receptor
recipient	destinatário
correctly	corretamente
correctly	correctamente
traditions	tradições
fundamental	fundamental
fundamental	fundamentais
thin	fina
thin	finos
thin	magra
thin	magro
thin	fino
chan	chan
resolved	resolvidos
resolved	resolveu
resolved	resolvido
resolved	resolvida
resolved	resolvidas
mario	mário
mario	mario
departments	departamentos
dame	dama
dame	dame
shield	escudo
shield	shield
fighters	combatentes
fighters	lutadores
fighters	caças
ivan	ivan
writings	escritos
bosnia	bósnia
sentenced	condenado
sentenced	sentenciado
sentenced	condenada
violent	violento
violent	violentas
violent	violentos
violent	violenta
caption	legenda
harbour	harbour
margin	margem
margin	margens
auckland	auckland
postal	postal
pirates	piratas
collective	coletiva
collective	colectivo
collective	colectiva
collective	coletivo
diesel	diesel
diesel	gasóleo
liberation	libertação
liberation	liberação
confederate	confederado
confederate	confederados
devil	diabo
devil	devil
devil	demônio
activists	activistas
activists	ativistas
sultan	sultão
sultan	sultan
rider	motociclista
rider	rider
amazon	amazónia
amazon	amazon
amazon	amazonas
amazon	amazona
amazon	amazônia
florence	florença
marc	marc
arnold	arnold
shah	shah
shah	xá
blogspot	blogspot
reduction	redução
reduction	diminuição
contents	conteúdos
contents	conteúdo
genetic	genética
genetic	genético
genetic	genéticos
somerset	somerset
locally	localmente
milk	leite
romance	romance
intellectual	intelectual
intellectual	intelectuais
latino	latinos
latino	latino
failing	falhando
mason	pedreiro
mason	mason
pete	pete
advisory	assessoria
advisory	consultivo
arbitration	arbitragem
interface	interface
interface	interfaces
hitler	hitler
default	padrão
default	omissão
default	predefinição
accessed	acedido
accessed	acessado
lifetime	vitalício
sheffield	sheffield
departure	partida
hindi	hindu
hindi	hindi
anglican	anglicana
suggesting	sugerindo
mistake	engano
mistake	erro
remainder	restante
embassy	embaixada
embassy	embaixadas
murdered	assassinado
murdered	assassinadas
murdered	assassinada
murdered	assassinados
sox	sox
sleep	dormir
sleep	dorme
sleep	durma
sleep	sono
suspended	suspensa
suspended	suspensos
suspended	suspenso
sum	soma
sum	sum
sum	somatório
mythology	mitologia
bengal	bengala
confusion	confusão
confusion	confusões
bakhsh	bakhsh
oscar	oscar
oscar	óscar
programmes	programas
therapy	terapêutica
therapy	terapia
occasion	ocasião
exposed	exposta
exposed	expostos
exposed	expostas
exposed	exposto
assisted	assistida
assisted	assistido
assisted	assistidos
possession	posse
possession	possessão
defend	defender
defend	defenda
defend	defendam
defend	defende
devoted	devoto
devoted	devotado
devoted	dedicado
graphic	gráfica
graphic	gráfico
graphic	gráficos
milwaukee	milwaukee
informed	informada
informed	informados
informed	informado
anonymous	anónimo
reverse	inverter
reverse	reverter
reverse	inverso
soap	sabonetes
soap	sabonete
soap	sabão
territorial	territorial
territorial	territoriais
lisa	lisa
paulo	paulo
northwestern	northwestern
northwestern	noroeste
playoffs	eliminatórias
playoffs	playoffs
boss	patroa
boss	patrão
boss	chefe
boss	boss
nasa	nasa
sockpuppets	sockpuppets
quoted	citado
quoted	citadas
quoted	citados
quoted	citada
byzantine	bizantina
byzantine	bizantinos
byzantine	bizantino
idaho	idaho
poster	cartaz
poster	pôster
poster	poster
geographic	geográficos
geographic	geográfico
geographic	geográfica
rebounds	rebotes
congo	congo
venture	empreendimento
venture	venture
worse	piores
worse	pior
hoax	trote
hoax	embuste
restricted	restrita
restricted	restritos
restricted	restrito
doors	portas
naming	nomear
situations	situações
instructions	instruções
sullivan	sullivan
tables	tabelas
tables	mesas
tables	quadros
leaf	folhas
leaf	folha
shoot	atire
shoot	atirar
substitute	substituir
substitute	substituto
substitute	substituta
restaurants	restaurantes
contributor	contribuinte
contributor	colaborador
spoke	falou
spoke	falaram
spoke	falava
errors	erros
enjoyed	curti
framework	framework
framework	enquadramento
framework	quadro
rocky	rochoso
rocky	rocky
kerala	kerala
shakespeare	shakespeare
quantum	quantum
quantum	quântico
quantum	quântica
immigration	imigração
mirror	mirror
mirror	espelho
certified	certificadas
certified	certificados
certified	certificado
certified	certificada
assets	activos
assets	ativos
npov	npov
potentially	potencialmente
presentation	apresentação
cotton	algodão
sitting	sentando
sitting	sentado
sitting	sentada
sitting	sentados
tournaments	torneios
syndrome	síndrome
checked	verificados
checked	verifiquei
checked	verificado
checked	verificada
forty	forty
forty	quarenta
sourcing	abastecimento
journalism	jornalismo
upload	upload
upload	carregar
upload	carregamento
unsuccessful	insucesso
unsuccessful	vencida
towers	torres
conductor	maestro
conductor	condutor
hospitals	hospitais
bone	osso
bone	ossos
bone	bone
essex	essex
rebuilt	reconstruído
rebuilt	reconstruída
rebuilt	reconstruiu
wellington	wellington
ideal	ideal
ideal	ideais
raw	raw
raw	crua
raw	cru
sharing	partilhar
sharing	compartilhamento
sharing	compartilhando
sharing	compartilhar
sharing	partilha
labels	rótulos
labels	etiquetas
leonard	léonard
leonard	leonardo
leonard	leonard
watson	watson
governors	governadores
posting	postagem
posting	publicar
posting	postando
posting	postar
posting	publicando
harvey	harvey
bases	bases
hello	olá
hello	alô
hello	hello
rabbi	rabi
rabbi	rabino
hardware	hardware
hardware	ferragens
ensemble	conjunto
monster	monstro
monster	monster
pitcher	lançador
pitcher	arremessador
pitcher	jarro
emphasis	ênfase
recovery	recuperação
recovery	valorização
recovery	cobrança
respond	responde
respond	responder
respond	responda
respond	respondam
aaron	aaron
aaron	aarão
lesser	menor
qualification	qualificações
qualification	qualificação
organic	orgânicas
organic	orgânica
organic	orgânico
organic	orgânicos
exposure	exposição
palestine	palestina
thoughts	pensamentos
thoughts	reflexões
needing	necessitando
needing	precisando
drafted	redigida
drafted	redigido
maurice	maurice
maurice	maurício
immigrants	imigrantes
variant	variante
lap	colo
lap	lap
legitimate	legítimas
legitimate	legítima
legitimate	legítimo
legitimate	legítimos
autonomous	autónomo
autonomous	autônomo
autonomous	autónoma
autonomous	autônoma
wallace	wallace
succession	sucessão
throw	atira
monday	segunda
reserves	reservas
donated	doou
donated	doados
donated	doado
increases	aumentos
increases	aumenta
kid	garoto
kid	moleque
kid	miúdo
kid	kid
guidance	orientações
guidance	orientação
delivery	delivery
delivery	entrega
delivery	veiculação
joan	joana
joan	joan
fifty	cinquenta
fifty	cinqüenta
fifty	fifty
slave	escrava
slave	escravos
slave	escravo
feedback	opiniões
feedback	opinião
feedback	feedback
feedback	comentários
columbus	columbus
columbus	colombo
stones	stones
stones	pedras
manage	gerir
manage	gerenciar
cgi	cgi
initiated	iniciadas
initiated	iniciada
initiated	iniciado
initiated	iniciados
favour	favor
favour	favorecer
printing	impressão
printing	imprimir
variable	variável
variable	variáveis
theology	teologia
todd	todd
parameters	parâmetros
traveled	viajou
traveled	viajado
traveled	viajei
traveled	viajava
canton	cantão
canton	canton
han	han
reed	palheta
reed	reed
reed	cana
celtic	celta
celtic	celtic
celtic	celtas
characteristic	característicos
characteristic	característica
characteristic	característico
commanded	comandado
commanded	comandou
commanded	comandados
searching	procurando
searching	pesquisando
inappropriate	inapropriado
inappropriate	inadequado
inappropriate	impróprio
inappropriate	inadequada
inappropriate	inapropriada
switch	alternar
switch	switch
switch	troque
switch	trocar
ties	laços
ties	gravatas
tube	tubo
tube	tube
otto	otto
debt	dívida
debt	dívidas
navigation	navegação
eligible	elegíveis
eligible	elegível
experts	peritos
experts	especialistas
expensive	cara
expensive	caro
expensive	dispendioso
expensive	caros
tier	tier
tier	escalão
gospel	evangelho
gospel	gospel
newton	newton
essays	ensaios
shanghai	shanghai
shanghai	xangai
conventional	convencionais
conventional	convencional
campaigns	campanhas
formations	formações
feelings	sensações
feelings	sentimentos
bath	banheira
bath	banho
bath	bath
venice	veneza
#aaa	#aaa
cats	cats
cats	gatos
cats	gatas
variations	variações
emerged	surgiu
emerged	emergiu
emerged	emergiram
socks	meias
connecting	conectando
connecting	conexão
flood	enchente
flood	flood
flood	inundações
flood	dilúvio
flood	inundação
documented	documentado
documented	documentadas
documented	documentada
documented	documentados
custom	personalizadas
custom	personalizada
custom	personalizado
custom	costume
custom	personalizados
touchdown	touchdown
profession	profissão
layout	disposição
layout	layout
academics	académicos
academics	acadêmicos
settlers	colonos
settlers	colonizadores
merging	fundir
merging	mesclagem
sony	sony
competitors	concorrentes
competitors	competidores
phillips	philips
phillips	phillips
grass	capim
grass	grama
grass	erva
grass	relva
reservoir	reservatório
artificial	artificiais
artificial	artificial
novelist	romancista
tip	dica
tip	ponta
tip	tip
prague	praga
abu	abu
faces	caras
faces	rostos
faces	caretas
faces	faces
guitars	guitarras
aspx	aspx
laura	laura
internationally	internacionalmente
attacking	atacar
attacking	atacando
johann	johann
dreams	sonha
dreams	sonhos
dreams	dreams
hughes	hughes
suburb	subúrbio
understood	percebido
understood	entendido
understood	entendi
understood	entendeu
understood	compreendido
understood	compreendeu
specialized	especializados
specialized	especializado
specialized	especializada
warned	avisada
warned	avisados
warned	avisei
warned	avisado
warned	avisou
pearl	pearl
pearl	pérola
chorus	refrão
chorus	coro
dependent	dependentes
dependent	dependente
restrictions	restrições
killer	assassina
killer	killer
killer	matador
killer	assassino
oakland	oakland
romanized	romanizado
trio	trio
influences	influências
blocking	bloqueio
blocking	bloqueando
blocking	bloquear
mtv	mtv
wikipedians	wikipedistas
cattle	gado
cattle	bovinos
gear	gear
gear	engrenagem
gabriel	gabriel
traded	trocada
traded	negociado
traded	trocado
traded	trocou
traded	negociados
skating	patinação
skating	patinagem
fifteen	fifteen
fifteen	quinze
palm	palm
palm	palma
palm	palmeira
wikis	wikis
tale	conto
demonstrate	demonstrar
demonstrate	demonstre
vary	variam
vary	variar
liquid	liquido
liquid	líquidos
liquid	líquido
liquid	líquida
cycling	ciclismo
cycling	bicicleta
princeton	princeton
respective	respectivo
respective	respectivas
respective	respectivos
voices	vozes
voices	voices
friedrich	frederico
friedrich	friedrich
jet	jato
jet	jacto
jet	jet
horn	corno
horn	horn
horn	chifre
horn	buzina
erected	erguido
burning	queimando
burning	queimar
burning	queima
worker	trabalhador
worker	operário
atmosphere	atmosfera
characterized	caracterizada
characterized	caracterizado
characterized	caracterizou
characterized	caracterizados
syrian	sírio
syrian	síria
syrian	sírios
java	java
monitor	monitor
monitor	monitorar
monitor	monitora
graduating	formatura
graduating	graduando
columns	colunas
repair	conserto
repair	reparar
repair	reparações
repair	reparo
repair	reparação
bin	bin
stick	pau
stick	stick
dollars	dolares
dollars	dólares
organised	organizada
organised	organizados
organised	organizado
organised	organizou
parameter	parâmetro
parameter	parâmetros
truly	verdadeiramente
resolve	resolver
buenos	buenos
parade	parada
parade	desfile
parade	parade
backed	apoiado
awareness	sensibilização
awareness	consciência
depends	depende
define	definir
define	defina
define	define
spencer	spencer
republicans	republicanos
conspiracy	conspiração
dies	morre
clarke	clarke
rough	áspero
rough	bruto
engage	envolver
pine	pinheiro
pine	pine
pine	pinho
equation	equação
feels	sente
democrat	democratas
democrat	democrata
permitted	permitido
permitted	permitidos
permitted	permitida
cutting	cortando
cutting	cortar
cutting	corte
cutting	desmancha
button	botão
button	button
attending	atendente
brands	marcas
queens	rainhas
queens	queens
abraham	abraham
abraham	abraão
neck	pescoço
forever	forever
forever	eternamente
est	est
drink	bebe
drink	beber
drink	bebida
drink	beba
sheriff	sheriff
